hotel_name,scraped_info
Park Grand Paddington Court,"[4.0, 'https://www.hotels.com/ho172215/park-grand-paddington-court-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673181021852&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=527232&sort=RECOMMENDED&top_dp=111&top_cur=EUR&userIntent=&selectedRoomType=201192112&selectedRatePlan=205634815&expediaPropertyId=527232']"
Hilton London Wembley,"[4.0, 'https://www.hotels.com/ho403798/hilton-london-wembley-wembley-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673181092184&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=4253&destination=Wembley%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=553248634739918835&selected=4921092&sort=RECOMMENDED&top_dp=125&top_cur=EUR&userIntent=&selectedRoomType=200151949&selectedRatePlan=388616740&expediaPropertyId=4921092']"
Park Plaza County Hall London,"[4.0, 'https://www.hotels.com/ho258400/park-plaza-county-hall-london-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673181163923&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=1742184&sort=RECOMMENDED&top_dp=214&top_cur=EUR&userIntent=&selectedRoomType=314307291&selectedRatePlan=382948479&expediaPropertyId=1742184']"
Blakemore Hyde Park,"[4.0, 'https://www.hotels.com/ho285982/blakemore-hyde-park-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673181237265&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=2607&sort=RECOMMENDED&top_dp=139&top_cur=EUR&userIntent=&selectedRoomType=200567682&selectedRatePlan=212360242&expediaPropertyId=2607']"
Park Plaza London Riverbank,"[4.0, 'https://www.hotels.com/ho228199/park-plaza-london-riverbank-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673181308780&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=1183908&sort=RECOMMENDED&top_dp=183&top_cur=EUR&userIntent=&selectedRoomType=314224550&selectedRatePlan=382707432&expediaPropertyId=1183908']"
M by Montcalm Shoreditch London Tech City,"[5.0, 'https://www.hotels.com/ho480679/montcalm-east-autograph-collection-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673181376232&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=9236409&sort=RECOMMENDED&top_dp=192&top_cur=EUR&userIntent=&selectedRoomType=229814527&selectedRatePlan=272369763&expediaPropertyId=9236409']"
DoubleTree by Hilton London Docklands Riverside,"[4.0, 'https://www.hotels.com/ho124508/doubletree-by-hilton-london-docklands-riverside-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673181445039&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=179507&selected=2456&sort=RECOMMENDED&top_dp=134&top_cur=EUR&userIntent=&selectedRoomType=201146467&selectedRatePlan=388616827&expediaPropertyId=2456']"
St James Court A Taj Hotel London,"[4.0, 'https://www.hotels.com/ho112709/st-james-court-a-taj-hotel-london-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673181513808&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=582514&sort=RECOMMENDED&top_dp=238&top_cur=EUR&userIntent=&selectedRoomType=201896574&selectedRatePlan=209586321&expediaPropertyId=582514']"
Park Grand London Kensington,"[4.0, 'https://www.hotels.com/ho181606/park-grand-london-kensington-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673181595738&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=22702&sort=RECOMMENDED&top_dp=157&top_cur=EUR&userIntent=&selectedRoomType=128725&selectedRatePlan=297538&expediaPropertyId=22702']"
Hotel Da Vinci,"[4.0, 'https://www.hotels.com/ho496201/hotel-da-vinci-milan-italy/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673181660872&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2302&destination=Milan%2C+Lombardy%2C+Italy&destType=CURRENT_LOCATION&neighborhoodId=553248635976400293&selected=10110341&sort=RECOMMENDED&top_dp=54&top_cur=EUR&userIntent=&selectedRoomType=201759108&selectedRatePlan=272044771&expediaPropertyId=10110341']"
